"","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Name","Region","color","OTHER","description","accession","synonyms"
"29656",11163,"chr17",79792551,79793092,2.6272,"transcription_start_site","-",79792869,79792869,0,56,116729,"DYSFIP1","chr17:79792869-79792869",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:79792869-79792869&pix=800&Submit=submit","dysferlin interacting protein 1","BC093707","MGC138299"
"29781",11202,"chr17",80906720,80908878,3.5272,"transcription_start_site","-",80907404,80907404,0,-392,146712,"B3GNTL1","chr17:80907404-80907404",9900,"MGC126256,MGC126253,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:80907404-80907404&pix=800&Submit=submit","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1","BC110528","B3GNT8"
"30228",11392,"chr18",59559062,59560321,2.8822,"transcription_start_site","-",59560304,59560304,0,612,220441,"RNF152","chr18:59560304-59560304",9900,"MGC138161,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:59560304-59560304&pix=800&Submit=submit","ring finger protein 152","NM_173557","FLJ39176"
"30676",11564,"chr19",5846400,5846969,3.672,"transcription_start_site","-",5846466,5846466,0,-218,2525,"FUT3","chr19:5846466-5846466",9900,"Les,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:5846466-5846466&pix=800&Submit=submit,FucT-III,FT3B,MGC131739,LE","fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)","BC074836","CD174"
"30710",11574,"chr19",6269549,6272318,3.5396,"transcription_start_site","-",6270770,6270770,0,-163,4298,"MLLT1","chr19:6270770-6270770",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:6270770-6270770&pix=800&Submit=submit,YEATS1, translocated to, 1,LTG19","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","BC148806","ENL"
"31324",11826,"chr19",33360620,33360858,2.337,"transcription_start_site","-",33360672,33360672,0,-68,11136,"SLC7A9","chr19:33360672-33360672",9900,"CSNU3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:33360672-33360672&pix=800&Submit=submit,FLJ94301","solute carrier family 7 (cationic amino acid transporter, y+ system), member 9","BC017962","BAT1"
"31472",11876,"chr19",36233018,36233759,3.6083,"transcription_start_site","-",36233312,36233312,0,-76,79713,"TMEM149","chr19:36233312-36233312",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:36233312-36233312&pix=800&Submit=submit,U2AF1L4","transmembrane protein 149","BC126481","FLJ22573"
"31492",11882,"chr19",36398506,36399351,3.3509,"transcription_start_site","-",36399186,36399186,0,256,7305,"TYROBP","chr19:36399186-36399186",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:36399186-36399186&pix=800&Submit=submit,PLOSL,KARAP","TYRO protein tyrosine kinase binding protein","NM_003332","DAP12"
"31578",11911,"chr19",37824854,37825579,3.9585,"transcription_start_site","+",37825579,37825579,0,-364,284459,"HKR1","chr19:37825579-37825579",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:37825579-37825579&pix=800&Submit=submit","GLI-Kruppel family member HKR1","NM_181786","-"
"31651",11935,"chr19",39302705,39304150,3.7623,"transcription_start_site","-",39303565,39303565,0,136,3960,"LGALS4","chr19:39303565-39303565",9900,"L36LBP,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:39303565-39303565&pix=800&Submit=submit","lectin, galactoside-binding, soluble, 4","BC034750","GAL4"
"31684",11943,"chr19",39443177,39443620,2.3591,"transcription_start_site","-",39443327,39443327,0,-72,115290,"FBXO17","chr19:39443327-39443327",9900,"FLJ11798,FLJ25205,Fbx17,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:39443327-39443327&pix=800&Submit=submit,MGC9379,FBXO26,FBX26,FLJ58300","F-box protein 17","NM_148169","FBG4"
"32202",12125,"chr19",48668620,48669378,2.6334,"transcription_start_site","-",48668880,48668880,0,-120,3978,"LIG1","chr19:48668880-48668880",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:48668880-48668880&pix=800&Submit=submit,MGC130025","ligase I, DNA, ATP-dependent","BC110622","MGC117397"
"32309",12168,"chr19",49527292,49528245,3.0398,"transcription_start_site","-",49527570,49527570,0,-200,1082,"CGB","chr19:49527570-49527570",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:49527570-49527570&pix=800&Submit=submit,hCGB","chorionic gonadotropin, beta polypeptide","BC022796","CGB3"
"32390",12187,"chr19",50063250,50064121,2.6561,"transcription_start_site","-",50063949,50063949,0,264,51070,"NOSIP","chr19:50063949-50063949",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:50063949-50063949&pix=800&Submit=submit","nitric oxide synthase interacting protein","BC011249","CGI-25"
"32598",12258,"chr19",52390763,52391212,2.5141,"transcription_start_site","-",52391189,52391189,0,200,84765,"ZNF577","chr19:52391189-52391189",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:52391189-52391189&pix=800&Submit=submit,MGC4400","zinc finger protein 577","NM_001135590","FLJ32291"
"32768",12326,"chr19",55477391,55477921,2.7266,"transcription_start_site","+",55477742,55477742,0,-88,55655,"NLRP2","chr19:55477742-55477742",9900,"NALP2,PAN1,NBS1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:55477742-55477742&pix=800&Submit=submit,FLJ20510,PYPAF2","NLR family, pyrin domain containing 2","BC039269","CLR19.9"
"32895",12372,"chr19",56879354,56879795,2.2901,"transcription_start_site","+",56879467,56879467,0,108,147947,"ZNF542","chr19:56879467-56879467",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:56879467-56879467&pix=800&Submit=submit,DKFZp686I1219","zinc finger protein 542","NR_003127","DKFZp686B2197"
"33126",12451,"chr20",2637272,2637621,3.469,"transcription_start_site","+",2637584,2637584,0,-137,26792,"SNORD57","chr20:2637584-2637584",9900,"U57,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:2637584-2637584&pix=800&Submit=submit","small nucleolar RNA, C/D box 57","NR_002738","RNU57"
"33142",12459,"chr20",3024266,3024607,2.311,"transcription_start_site","+",3024267,3024267,0,169,2797,"GNRH2","chr20:3024267-3024267",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:3024267-3024267&pix=800&Submit=submit,LH-RHII","gonadotropin-releasing hormone 2","NM_178332","GnRH-II"
"33204",12482,"chr20",4720615,4721385,2.9671,"transcription_start_site","-",4721314,4721314,0,314,149830,"PRNT","chr20:4721314-4721314",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:4721314-4721314&pix=800&Submit=submit","prion protein (testis specific)","NR_024267","-"
"33354",12544,"chr20",25127754,25128803,3.5549,"transcription_start_site","-",25128629,25128629,0,348,284798,"LOC284798","chr20:25128629-25128629",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:25128629-25128629&pix=800&Submit=submit","hypothetical LOC284798","NR_027093","-"
"33469",12599,"chr20",34025863,34026404,2.9605,"transcription_start_site","-",34026027,34026027,0,-108,8200,"GDF5","chr20:34026027-34026027",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:34026027-34026027&pix=800&Submit=submit,LAP4,CDMP1,SYNS2,OS5","growth differentiation factor 5","NM_000557","BMP14"
"33826",12732,"chr20",52492214,52492696,3.2021,"transcription_start_site","-",52492248,52492248,0,-208,391257,"SUMO1P1","chr20:52492248-52492248",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:52492248-52492248&pix=800&Submit=submit,UBL2","SUMO1 pseudogene 1","NR_002189","PIC1L"
"33869",12743,"chr20",55099407,55099848,3.7615,"transcription_start_site","+",55099784,55099784,0,-156,200232,"C20orf106","chr20:55099784-55099784",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:55099784-55099784&pix=800&Submit=submit,dJ1153D9.3","chromosome 20 open reading frame 106","NM_001012971","MGC104272"
"33870",12743,"chr20",55099407,55099848,3.7615,"transcription_start_site","+",55099807,55099807,0,-180,388799,"C20orf107","chr20:55099807-55099807",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:55099807-55099807&pix=800&Submit=submit,dJ1153D9.4","chromosome 20 open reading frame 107","BC105792","MGC104273"
"34027",12811,"chr20",61668141,61668504,2.8444,"transcription_start_site","-",61668380,61668380,0,60,100144596,"NCRNA00029","chr20:61668380-61668380",9900,"bA305P22.4,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:61668380-61668380&pix=800&Submit=submit,MGC133148,DKFZp434E222","non-protein coding RNA 29","NR_028295","C20orf51"
"34620",13051,"chr22",17689955,17690717,2.9137,"transcription_start_site","-",17690614,17690614,0,278,51816,"CECR1","chr22:17690614-17690614",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:17690614-17690614&pix=800&Submit=submit,IDGFL","cat eye syndromechromosome region, candidate 1","BC051755","ADGF"
"34722",13092,"chr22",20397546,20398797,4.4744,"transcription_start_site","-",20398671,20398671,0,500,375133,"PI4KAP2","chr22:20398671-20398671",9900,"MGC31920,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:20398671-20398671&pix=800&Submit=submit","phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 2","BC141652","FLJ44912"
"34723",13092,"chr22",20397546,20398797,4.4744,"transcription_start_site","-",20398695,20398695,0,524,728233,"PI4KAP1","chr22:20398695-20398695",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:20398695-20398695&pix=800&Submit=submit","phosphatidylinositol 4-kinase, catalytic, alpha pseudogene 1","NR_003563","FLJ39405"
"34760",13109,"chr22",21398514,21398871,3.3591,"transcription_start_site","-",21398538,21398538,0,-154,440799,"P2RX6P","chr22:21398538-21398538",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:21398538-21398538&pix=800&Submit=submit","purinergic receptor P2X, ligand-gated ion channel, 6 pseudogene","NR_002829","-"
"34912",13163,"chr22",26137464,26138800,3.3532,"transcription_start_site","+",26138119,26138119,0,12,84700,"MYO18B","chr22:26138119-26138119",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:26138119-26138119&pix=800&Submit=submit,FLJ41942,DKFZp779C1668","myosin XVIIIB","NM_032608","DKFZp434C2422"
"35077",13220,"chr22",36011540,36012105,3.3093,"transcription_start_site","-",36011760,36011760,0,-64,4151,"MB","chr22:36011760-36011760",9900,"PVALB,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:36011760-36011760&pix=800&Submit=submit","myoglobin","BC018001","MGC13548"
"35189",13260,"chr22",38839313,38840081,3.6425,"transcription_start_site","-",38840033,38840033,0,336,3761,"KCNJ4","chr22:38840033-38840033",9900,"HIRK2,MGC142066,Kir2.3,MGC142068,IRK3,HRK1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:38840033-38840033&pix=800&Submit=submit","potassium inwardly-rectifying channel, subfamily J, member 4","NM_004981","HIR"
"35860",13491,"chrX",19100251,19100942,3.2804,"transcription_start_site","-",19100861,19100861,0,264,10149,"GPR64","chrX:19100861-19100861",9900,"MGC138738,MGC104454,TM7LN2,HE6,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:19100861-19100861&pix=800&Submit=submit,MGC138739,FLJ00282","G protein-coupled receptor 64","BC113978","EDDM6"
"35866",13494,"chrX",19817571,19818421,3.2923,"transcription_start_site","-",19817917,19817917,0,-80,30011,"SH3KBP1","chrX:19817917-19817917",9900,"GIG10,MIG18,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:19817917-19817917&pix=800&Submit=submit","SH3-domain kinase binding protein 1","NM_001024666","CIN85"
"35929",13520,"chrX",27825094,27826924,3.5897,"transcription_start_site","+",27826124,27826124,0,-116,139422,"MAGEB10","chrX:27826124-27826124",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:27826124-27826124&pix=800&Submit=submit,MGC120394","melanoma antigen family B, 10","NM_182506","FLJ32965"
"36067",13581,"chrX",47865852,47867691,2.97,"transcription_start_site","+",47867169,47867169,0,-396,729201,"SPACA5B","chrX:47867169-47867169",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:47867169-47867169&pix=800&Submit=submit","sperm acrosome associated 5B","NM_001079900","-"
"36208",13623,"chrX",51806562,51807099,3.7157,"transcription_start_site","-",51806569,51806569,0,-264,100124541,"SNORA11D","chrX:51806569-51806569",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:51806569-51806569&pix=800&Submit=submit","small nucleolar RNA, H/ACA box 11D","NR_003711","FLJ39060"
"36404",13665,"chrX",55115421,55116306,2.2585,"transcription_start_site","+",55115496,55115496,0,368,203569,"PAGE2","chrX:55115496-55115496",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:55115496-55115496&pix=800&Submit=submit,MGC62094,GAGEC2,PAGE-2,GAGEE2","P antigen family, member 2 (prostate associated)","NM_207339","CT16.4"
"36428",13676,"chrX",68382361,68384416,4.4397,"transcription_start_site","-",68383149,68383149,0,-240,64219,"PJA1","chrX:68383149-68383149",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:68383149-68383149&pix=800&Submit=submit","praja ring finger 1","BC105053","RNF70"
"36547",13715,"chrX",73523750,73524511,4.1356,"transcription_start_site","+",73524024,73524024,0,104,389874,"ZCCHC13","chrX:73524024-73524024",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:73524024-73524024&pix=800&Submit=submit,ZNF9L","zinc finger, CCHC domain containing 13","NM_203303","Cnbp2"
"36635",13743,"chrX",99661446,99662777,3.9903,"transcription_start_site","-",99662152,99662152,0,40,57526,"PCDH19","chrX:99662152-99662152",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:99662152-99662152&pix=800&Submit=submit,KIAA1313,EFMR","protocadherin 19","BC136628","DKFZp686P1843"
"36788",13801,"chrX",115593861,115594591,2.3109,"transcription_start_site","-",115594137,115594137,0,-88,203413,"CXorf61","chrX:115594137-115594137",9900,"FLJ20611,KK-LC-1,FLJ22913,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:115594137-115594137&pix=800&Submit=submit","chromosome X open reading frame 61","NM_001017978","CT83"
"36844",13820,"chrX",119708343,119710001,3.6728,"transcription_start_site","-",119709649,119709649,0,480,8450,"CUL4B","chrX:119709649-119709649",9900,"SFM2,MRXSC,KIAA0695,MRXHF2,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:119709649-119709649&pix=800&Submit=submit","cullin 4B","BC036216","DKFZp686F1470"
"36948",13855,"chrX",134429579,134429820,2.7227,"transcription_start_site","-",134429804,134429804,0,112,7626,"ZNF75D","chrX:134429804-134429804",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:134429804-134429804&pix=800&Submit=submit,ZNF82,MGC126327,ZNF75","zinc finger protein 75D","BC109100","D8C6"
"36951",13857,"chrX",134847091,134848258,4.233,"transcription_start_site","+",134847277,134847277,0,400,441519,"CT45A3","chrX:134847277-134847277",9900,"RP13-36C9.1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:134847277-134847277&pix=800&Submit=submit,CT45.3","cancer/testis antigen family 45, member A3","BC140926","CT45-3"
"36955",13858,"chrX",134866038,134867277,3.2262,"transcription_start_site","+",134866213,134866213,0,448,728911,"CT45A2","chrX:134866213-134866213",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:134866213-134866213&pix=800&Submit=submit,CT45.2","cancer/testis antigen family 45, member A2","NM_152582","CT45-2"
"36956",13858,"chrX",134866038,134867277,3.2262,"transcription_start_site","+",134866213,134866213,0,448,441520,"CT45A4","chrX:134866213-134866213",9900,"CT45.4,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:134866213-134866213&pix=800&Submit=submit","cancer/testis antigen family 45, member A4","NM_001017436","CT45-4"
"37124",13900,"chrX",148676776,148678435,3.5595,"transcription_start_site","-",148676974,148676974,0,-624,100130086,"HSFX2","chrX:148676974-148676974",9900,"MGC26102,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:148676974-148676974&pix=800&Submit=submit","heat shock transcription factor family, X linked 2","NM_001164415","FLJ17347"
"37137",13905,"chrX",149101189,149102426,3.4832,"transcription_start_site","-",149102315,149102315,0,512,541578,"CXorf40B","chrX:149102315-149102315",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:149102315-149102315&pix=800&Submit=submit","chromosome X open reading frame 40B","BC009523","-"
"37555",14018,"chrY",22917603,22918641,3.6765,"transcription_start_site","+",22917953,22917953,0,170,140032,"RPS4Y2","chrY:22917953-22917953",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrY:22917953-22917953&pix=800&Submit=submit","ribosomal protein S4, Y-linked 2","NM_001039567","RPS4Y2P"
"35053",13211,"chr22",32750705,32750870,3.0615,"transcription_start_site","+",32750871,32750871,-1,-84,10738,"RFPL3","chr22:32750871-32750871",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:32750871-32750871&pix=800&Submit=submit","ret finger protein-like 3","NM_006604","-"
"31979",12049,"chr19",45201404,45202355,2.7102,"transcription_start_site","+",45202357,45202357,-2,-476,388551,"CEACAM16","chr19:45202357-45202357",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:45202357-45202357&pix=800&Submit=submit","carcinoembryonic antigen-related cell adhesion molecule 16","NM_001039213","CEAL2"
"9819",3776,"chr5",138210580,138211323,3.6173,"transcription_start_site","+",138211341,138211341,-18,-400,1495,"CTNNA1","chr5:138211341-138211341",9900,"FLJ52416,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:138211341-138211341&pix=800&Submit=submit,FLJ36832","catenin (cadherin-associated protein), alpha 1, 102kDa","BC031262","CAP102"
"33786",12716,"chr20",49253448,49254082,3.2646,"transcription_start_site","-",49253426,49253426,-22,-340,140876,"FAM65C","chr20:49253426-49253426",9900,"FLJ32230,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr20:49253426-49253426&pix=800&Submit=submit,dJ530I15.2,FLJ00360","family with sequence similarity 65, member C","NM_080829","C20orf175"
"5610",2111,"chr2",240117178,240117327,2.5547,"transcription_start_site","-",240117153,240117153,-25,-96,85009,"MGC16025","chr2:240117153-240117153",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:240117153-240117153&pix=800&Submit=submit","hypothetical LOC85009","NR_026664","-"
"2700",1003,"chr1",201251754,201252553,3.9294,"transcription_start_site","+",201252579,201252579,-26,-416,5317,"PKP1","chr1:201252579-201252579",9900,"MGC138829,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:201252579-201252579&pix=800&Submit=submit","plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)","NM_000299","B6P"
"24067",9121,"chr14",92788543,92788898,2.5892,"transcription_start_site","+",92788924,92788924,-26,-208,123041,"SLC24A4","chr14:92788924-92788924",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr14:92788924-92788924&pix=800&Submit=submit,SHEP6,SLC24A2,NCKX4","solute carrier family 24 (sodium/potassium/calcium exchanger), member 4","NM_153648","FLJ38852"
"3553",1342,"chr2",27370958,27371911,3.3345,"transcription_start_site","+",27371944,27371944,-33,-508,150921,"TCF23","chr2:27371944-27371944",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:27371944-27371944&pix=800&Submit=submit,bHLHa24","transcription factor 23","BC137191","OUT"
"5502",2070,"chr2",234637612,234637739,2.2282,"transcription_start_site","+",234637772,234637772,-33,-96,54659,"UGT1A3","chr2:234637772-234637772",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:234637772-234637772&pix=800&Submit=submit","UDP glucuronosyltransferase 1 family, polypeptide A3","NM_019093","UGT1C"
"15820",6079,"chr9",35909166,35909437,2.2944,"transcription_start_site","+",35909479,35909479,-42,-176,158376,"LOC158376","chr9:35909479-35909479",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr9:35909479-35909479&pix=800&Submit=submit","hypothetical LOC158376","NR_024283","-"
"26564",10053,"chr16",57391932,57392675,2.9793,"transcription_start_site","+",57392717,57392717,-42,-412,6367,"CCL22","chr16:57392717-57392717",9900,"MDC,ABCD-1,MGC34554,STCP-1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:57392717-57392717&pix=800&Submit=submit,DC/B-CK,SCYA22","chemokine (C-C motif) ligand 22","NM_002990","A-152E5.1"
"5718",2158,"chr3",8775007,8775448,2.1028,"transcription_start_site","+",8775495,8775495,-47,-267,859,"CAV3","chr3:8775495-8775495",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr3:8775495-8775495&pix=800&Submit=submit,LQT9,VIP21,VIP-21,MGC126129,MGC126101,MGC126100","caveolin 3","NM_033337","LGMD1C"
"16994",6532,"chr9",140459500,140459645,2.2327,"transcription_start_site","-",140459451,140459451,-49,-128,92715,"WDR85","chr9:140459451-140459451",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr9:140459451-140459451&pix=800&Submit=submit,RP11-48C7.3,FLJ90634","WD repeat domain 85","BC040173","C9orf112"
"9087",3494,"chr5",6582108,6582236,2.973,"transcription_start_site","+",6582286,6582286,-50,-114,255167,"LOC255167","chr5:6582286-6582286",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:6582286-6582286&pix=800&Submit=submit","hypothetical LOC255167","NR_024423","-"
"30848",11626,"chr19",8933451,8935776,3.6554,"transcription_start_site","-",8933401,8933401,-50,-1213,148156,"ZNF558","chr19:8933401-8933401",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:8933401-8933401&pix=800&Submit=submit","zinc finger protein 558","BC064356","FLJ30932"
"14332",5477,"chr8",10529067,10530094,2.9953,"transcription_start_site","+",10530146,10530146,-52,-566,203076,"C8orf74","chr8:10530146-10530146",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:10530146-10530146&pix=800&Submit=submit","chromosome 8 open reading frame 74","NM_001040032","-"
"21232",8094,"chr12",45581305,45581966,3.2576,"transcription_start_site","-",45581252,45581252,-53,-384,6090,"RNY5","chr12:45581252-45581252",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:45581252-45581252&pix=800&Submit=submit","RNA, Ro-associated Y5","NR_001571","Y5"
"32307",12168,"chr19",49527292,49528245,3.0398,"transcription_start_site","-",49527237,49527237,-55,-532,93659,"CGB5","chr19:49527237-49527237",9900,"MGC119822,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:49527237-49527237&pix=800&Submit=submit","chorionic gonadotropin, beta polypeptide 5","BC106724","HCG"
"36364",13642,"chrX",52840128,52841170,4.017,"transcription_start_site","+",52841227,52841227,-57,-580,170627,"XAGE5","chrX:52841227-52841227",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:52841227-52841227&pix=800&Submit=submit,MGC119800,MGC119799,GAGED5,XAGE-5","X antigen family, member 5","NM_130775","CT12.5"
"1382",532,"chr1",67772720,67772978,2.7613,"transcription_start_site","+",67773046,67773046,-68,-200,3595,"IL12RB2","chr1:67773046-67773046",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:67773046-67773046&pix=800&Submit=submit","interleukin 12 receptor, beta 2","NM_001559","-"
